unix,date,symbol,open,high,low,close,Volume STX,Volume USDT,tradecount
1644969600000,2022-02-16 00:00:00,STX/USDT,1.58700000,1.58800000,1.49700000,1.54800000,1300605.40000000,2001976.47300000,6057
1644883200000,2022-02-15 00:00:00,STX/USDT,1.46800000,1.63600000,1.45800000,1.58700000,3149125.80000000,4911741.28320000,13111
1644796800000,2022-02-14 00:00:00,STX/USDT,1.44800000,1.47500000,1.39500000,1.46500000,2117356.00000000,3013893.61510000,11241
1644710400000,2022-02-13 00:00:00,STX/USDT,1.51400000,1.53800000,1.43900000,1.44500000,1653428.90000000,2472922.38880000,8511
1644624000000,2022-02-12 00:00:00,STX/USDT,1.51100000,1.51500000,1.42400000,1.51500000,1963426.70000000,2882480.48900000,8630
1644537600000,2022-02-11 00:00:00,STX/USDT,1.61900000,1.63700000,1.48400000,1.50900000,2609318.20000000,4143175.48620000,13025
1644451200000,2022-02-10 00:00:00,STX/USDT,1.72400000,1.78000000,1.61100000,1.61900000,3338204.90000000,5666465.35300000,16357
1644364800000,2022-02-09 00:00:00,STX/USDT,1.68900000,1.74600000,1.61700000,1.72100000,3429325.60000000,5755218.00840000,13992
1644278400000,2022-02-08 00:00:00,STX/USDT,1.71500000,1.78400000,1.59000000,1.68700000,4058149.10000000,6715587.97530000,19817
1644192000000,2022-02-07 00:00:00,STX/USDT,1.67400000,1.76400000,1.64100000,1.71500000,3571697.60000000,6113322.14350000,18398
1644105600000,2022-02-06 00:00:00,STX/USDT,1.57800000,1.69900000,1.57800000,1.67600000,2246564.00000000,3690902.25200000,11967
1644019200000,2022-02-05 00:00:00,STX/USDT,1.53800000,1.63500000,1.52000000,1.57700000,2518633.10000000,3995628.32090000,12365
1643932800000,2022-02-04 00:00:00,STX/USDT,1.42400000,1.54800000,1.40400000,1.53800000,2218006.60000000,3274097.40170000,12753
1643846400000,2022-02-03 00:00:00,STX/USDT,1.40300000,1.42700000,1.34700000,1.42500000,2930392.80000000,4073674.36040000,17499
1643760000000,2022-02-02 00:00:00,STX/USDT,1.49100000,1.52500000,1.40000000,1.40200000,2057550.00000000,3017759.75010000,12064
1643673600000,2022-02-01 00:00:00,STX/USDT,1.49400000,1.53500000,1.45900000,1.48900000,1791297.00000000,2677468.40230000,8350
1643587200000,2022-01-31 00:00:00,STX/USDT,1.49200000,1.51900000,1.41400000,1.49400000,2307529.40000000,3389105.57050000,10417
1643500800000,2022-01-30 00:00:00,STX/USDT,1.51500000,1.56300000,1.45300000,1.49200000,1829556.10000000,2747850.39590000,8196
1643414400000,2022-01-29 00:00:00,STX/USDT,1.45800000,1.56900000,1.45400000,1.51400000,3013117.30000000,4565477.75660000,11496
1643328000000,2022-01-28 00:00:00,STX/USDT,1.39300000,1.48800000,1.37200000,1.46100000,2782259.60000000,3968461.96700000,11429
1643241600000,2022-01-27 00:00:00,STX/USDT,1.37600000,1.45500000,1.31300000,1.39400000,2990386.20000000,4122708.29450000,12950
1643155200000,2022-01-26 00:00:00,STX/USDT,1.35700000,1.53200000,1.32200000,1.37600000,5957581.30000000,8505427.25160000,28195
1643068800000,2022-01-25 00:00:00,STX/USDT,1.35800000,1.38800000,1.24900000,1.35600000,5026694.20000000,6651186.49080000,19568
1642982400000,2022-01-24 00:00:00,STX/USDT,1.46300000,1.46600000,1.17800000,1.35700000,9586475.00000000,12172727.84710000,43371
1642896000000,2022-01-23 00:00:00,STX/USDT,1.40900000,1.48600000,1.35500000,1.46600000,4750256.30000000,6754838.24220000,25090
1642809600000,2022-01-22 00:00:00,STX/USDT,1.66600000,1.69800000,1.25400000,1.40900000,9625340.70000000,13822798.61040000,47118
1642723200000,2022-01-21 00:00:00,STX/USDT,1.91900000,1.95100000,1.62800000,1.66700000,9294366.60000000,16608723.22000000,49466
1642636800000,2022-01-20 00:00:00,STX/USDT,2.05800000,2.20500000,1.91000000,1.92000000,9693063.00000000,19921198.23380000,48745
1642550400000,2022-01-19 00:00:00,STX/USDT,2.32900000,2.48000000,2.04100000,2.05900000,18456613.00000000,41315528.21860000,97620
